id,jee_main_score,jee_advanced_score,mock_test_score_avg,board,class_12_percent,attempt_count,coaching_institute,daily_study_hours,family_income,parent_education,location_type,peer_pressure_level,mental_health_issues,dropout,board_number,institute_number,income_numbers,PEd_number,loc_number,PPL_Number,MH_Number
ST5001,78.95,59.22,59.86,0,70.09,1,2,5.4,0,0,2,0,0,1,0,2,0,0,2,0,0
ST5002,70.06,58.75,64.33,2,78,1,2,5.5,1,0,2,0,1,0,2,2,1,0,2,0,1
ST5003,81.07,37.27,60.83,1,64.36,1,2,7,0,3,1,1,1,1,1,2,0,3,1,1,1
ST5004,93.32,60.72,69.33,1,73.21,1,2,2.1,0,1,1,1,1,0,1,2,0,1,1,1,1
ST5005,68.72,77.73,82.37,0,89.02,1,1,6.3,1,2,1,2,0,0,0,1,1,2,1,2,0
ST5006,68.72,45.61,58.75,2,79.28,1,3,4.5,1,2,1,0,0,0,2,3,1,2,1,0,0
ST5007,94.11,82.78,80.01,0,76.31,1,3,3.7,1,0,1,1,0,0,0,3,1,0,1,1,0
ST5008,82.74,73.8,58.62,0,77.15,1,0,2.2,2,1,2,0,0,0,0,0,2,1,2,0,0
ST5009,65.43,54.25,57.83,1,71.11,1,3,5.7,1,0,1,0,0,0,1,3,1,0,1,0,0
ST5010,79.6,63.74,77.82,2,94.96,2,0,2.7,1,1,0,2,1,0,2,0,1,1,0,2,1
ST5011,65.51,91.57,79.06,0,66.88,1,0,5.5,1,2,2,0,0,0,0,0,1,2,2,0,0
ST5012,65.48,77.74,78.22,1,77.11,1,2,8.4,2,0,1,1,1,0,1,2,2,0,1,1,1
ST5013,75.39,66.14,52.21,0,76.15,2,1,6.5,1,1,0,1,0,0,0,1,1,1,0,1,0
ST5014,45.21,62.2,62.41,1,85.09,2,1,7.3,0,2,2,1,1,1,1,1,0,2,2,1,1
ST5015,47.85,67.23,77.88,2,86.03,2,3,3.1,0,1,0,1,1,1,2,3,0,1,0,1,1
ST5016,64.13,57.81,68.5,0,74.68,2,0,6,2,2,1,0,0,0,0,0,2,2,1,0,0
ST5017,57.82,32.32,55.12,2,77.91,1,2,2.2,2,3,0,1,0,0,2,2,2,3,0,1,0
ST5018,76.4,98.67,73.5,2,78.29,1,0,4,2,3,0,2,1,0,2,0,2,3,0,2,1
ST5019,59.29,68.49,59.42,1,52.28,1,2,8,2,1,2,0,0,0,1,2,2,1,2,0,0
ST5020,52.23,72.37,89.53,0,59.11,2,0,3.3,2,0,0,1,1,0,0,0,2,0,0,1,1
ST5021,92.52,65.07,86.54,0,68.95,1,3,6.7,1,1,0,1,1,0,0,3,1,1,0,1,1
ST5022,68.84,54.24,75.25,1,69.38,1,3,6.5,0,3,2,2,1,1,1,3,0,3,2,2,1
ST5023,72.95,63.03,84.33,1,63.01,2,0,6.6,0,0,1,0,0,1,1,0,0,0,1,0,0
ST5024,52.05,40.41,68.78,2,82.5,2,1,2,1,3,0,2,1,0,2,1,1,3,0,2,1
ST5025,64.38,100,77.19,0,75.02,2,2,5.6,2,3,1,2,1,0,0,2,2,3,1,2,1
ST5026,73.55,46.25,85.73,0,72.85,2,1,4.2,1,0,2,1,0,0,0,1,1,0,2,1,0
ST5027,55.89,49.49,70.95,1,62.44,2,1,6.7,2,0,1,1,1,0,1,1,2,0,1,1,1
ST5028,77.26,58.96,64.94,1,74.55,1,0,1.2,0,3,0,2,1,1,1,0,0,3,0,2,1
ST5029,63.59,86.61,47.54,1,50,2,2,5.2,0,2,0,0,1,0,1,2,0,2,0,0,1
ST5030,67.92,66.23,67,0,73.37,2,2,5,2,0,1,0,0,0,0,2,2,0,1,0,0
ST5031,63.58,46.22,77.88,0,75.63,1,3,0.5,1,3,1,0,0,0,0,3,1,3,1,0,0
ST5032,97.93,86.07,79.35,2,77.42,1,0,2.7,2,0,0,2,0,0,2,0,2,0,0,2,0
ST5033,71.81,77.7,74.05,1,59.36,1,0,0.8,2,0,2,0,1,0,1,0,2,0,2,0,1
ST5034,57.19,74.61,61.5,2,77.25,2,0,3,0,3,0,1,0,0,2,0,0,3,0,1,0
ST5035,83.52,77.45,44.28,0,64.59,2,3,5.6,2,2,0,2,0,0,0,3,2,2,0,2,0
ST5036,54.91,100,62.06,2,66.88,1,3,4.9,1,1,1,2,0,0,2,3,1,1,1,2,0
ST5037,74.92,100,64.35,2,82.18,1,2,4.8,2,3,0,2,0,0,2,2,2,3,0,2,0
ST5038,44.56,55.01,64.24,2,95.14,2,3,2.4,0,2,1,0,1,1,2,3,0,2,1,0,1
ST5039,53.41,91.98,75.42,1,75.51,1,0,6.7,1,3,2,0,0,0,1,0,1,3,2,0,0
ST5040,74.76,72.13,91.83,0,66.83,1,0,4.5,1,2,0,1,1,0,0,0,1,2,0,1,1
ST5041,82.34,73.99,69.48,1,76.89,1,1,4.6,0,1,2,0,1,0,1,1,0,1,2,0,1
ST5042,74.4,38.92,65.4,2,84.39,1,3,6.4,0,1,2,0,0,1,2,3,0,1,2,0,0
ST5043,70.38,63.27,64.89,1,81.21,2,0,2.5,2,0,0,0,0,0,1,0,2,0,0,0,0
ST5044,67.78,52.99,69.49,0,100,2,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0
ST5045,51.3,79.25,58.06,0,67.85,2,2,5.3,0,1,1,1,1,0,0,2,0,1,1,1,1
ST5046,61.92,83.14,69.44,2,77.52,1,3,3.4,0,3,0,1,1,0,2,3,0,3,0,1,1
ST5047,65.55,32.81,73.41,2,90.49,2,0,5.8,0,1,1,1,1,1,2,0,0,1,1,1,1
ST5048,86.8,65.65,70.52,1,89.86,2,2,5.5,1,2,1,0,0,0,1,2,1,2,1,0,0
ST5049,76.81,83.95,73.49,0,55.5,1,1,4.3,1,2,2,0,0,0,0,1,1,2,2,0,0
ST5050,47.32,63.01,73.2,0,74.97,1,1,4.2,1,2,1,2,1,0,0,1,1,2,1,2,1
ST5051,76.54,77.67,46.74,1,89.85,2,2,5.5,0,1,1,2,1,0,1,2,0,1,1,2,1
ST5052,66.61,71.62,75.64,0,100,1,3,6.1,2,0,0,0,0,0,0,3,2,0,0,0,0
ST5053,62.52,71.47,59.95,2,82.04,1,0,4.6,2,2,2,2,0,0,2,0,2,2,2,2,0
ST5054,80.56,61.66,54.85,2,71.32,2,3,6.7,2,2,1,1,1,0,2,3,2,2,1,1,1
ST5055,86.43,46.53,54.75,1,64.91,2,2,5.8,2,1,0,1,1,0,1,2,2,1,0,1,1
ST5056,85.04,48.06,73.2,1,97.19,2,0,0.9,1,2,1,1,1,0,1,0,1,2,1,1,1
ST5057,60.25,77.35,65.33,1,82.29,1,0,1.7,2,1,2,2,0,1,1,0,2,1,2,2,0
ST5058,67.67,66.31,47.82,2,66.52,1,0,6.9,1,0,2,1,0,0,2,0,1,0,2,1,0
ST5059,76.64,63.78,73.74,1,72.97,1,3,4,2,2,2,1,1,0,1,3,2,2,2,1,1
ST5060,85.66,59.22,50.72,0,78.1,1,3,4.8,2,2,2,1,0,0,0,3,2,2,2,1,0
ST5061,65.29,61.12,69.68,1,80.44,1,2,6.8,1,2,2,0,1,0,1,2,1,2,2,0,1
ST5062,69.4,82.75,70.86,0,66,1,1,4.5,1,1,2,0,1,0,0,1,1,1,2,0,1
ST5063,56.51,60.64,78.63,2,68.86,2,2,4.6,2,1,0,1,1,0,2,2,2,1,0,1,1
ST5064,55.25,44.54,89.38,0,58.47,2,0,2.8,0,3,2,1,1,0,0,0,0,3,2,1,1
ST5065,83.38,77.9,51.62,0,85.4,1,2,5.2,2,0,1,0,1,0,0,2,2,0,1,0,1
ST5066,90.99,62.72,67.37,0,71.58,2,1,5.7,2,3,1,0,1,0,0,1,2,3,1,0,1
ST5067,70.99,66.5,64.68,2,79.66,2,2,3.3,2,3,1,2,1,0,2,2,2,3,1,2,1
ST5068,86.05,91.72,73.2,0,89.22,2,1,2.7,1,3,1,0,0,0,0,1,1,3,1,0,0
ST5069,77.06,65.67,70.59,0,77.2,1,1,9.8,2,1,2,1,1,0,0,1,2,1,2,1,1
ST5070,62.97,70.63,63.77,1,73.87,2,0,4.3,0,2,2,0,0,1,1,0,0,2,2,0,0
ST5071,77.06,47.14,62.71,1,76.94,2,1,3.1,2,2,0,1,1,0,1,1,2,2,0,1,1
ST5072,93.53,62.49,54.6,1,75.63,1,3,5.9,0,1,2,2,1,0,1,3,0,1,2,2,1
ST5073,71.5,75.75,79.85,0,87.46,1,2,4.4,0,3,1,0,1,1,0,2,0,3,1,0,1
ST5074,93.91,41.11,73.51,0,78.11,1,2,2.3,0,0,0,2,1,1,0,2,0,0,0,2,1
ST5075,35.32,69.21,79.01,2,69.56,2,3,5.5,2,1,0,1,1,0,2,3,2,1,0,1,1
ST5076,83.51,67.61,64.28,0,85.48,2,3,2.8,1,3,0,1,1,0,0,3,1,3,0,1,1
ST5077,73.22,66.66,60.12,0,87.3,2,0,7.7,1,1,0,1,0,0,0,0,1,1,0,1,0
ST5078,67.81,82.59,55.06,2,61.62,1,2,5.5,2,2,2,1,1,0,2,2,2,2,2,1,1
ST5079,73.28,71.35,72.31,0,90.33,1,3,3.9,2,2,0,2,1,0,0,3,2,2,0,2,1
ST5080,44.17,89.65,55.52,2,78.65,1,0,4.7,0,2,2,0,0,1,2,0,0,2,2,0,0
ST5081,68.92,50.1,90.18,2,77.83,2,2,6.3,2,3,0,0,0,0,2,2,2,3,0,0,0
ST5082,77,68.17,52.31,1,85.07,2,2,4.9,1,1,2,1,0,0,1,2,1,1,2,1,0
ST5083,92.69,67.35,71.28,0,69.33,2,3,8.7,2,3,2,1,1,0,0,3,2,3,2,1,1
ST5084,64.74,48.89,86.8,1,84.54,1,1,6.8,2,1,1,2,1,0,1,1,2,1,1,2,1
ST5085,60.68,81.3,75.19,0,71.23,1,1,5.5,2,0,2,2,0,0,0,1,2,0,2,2,0
ST5086,64.98,100,70.11,1,60.25,2,3,2.6,0,2,0,1,0,1,1,3,0,2,0,1,0
ST5087,84.82,65.73,56.38,2,65.02,2,1,4.2,2,0,0,1,1,0,2,1,2,0,0,1,1
ST5088,76.6,74.08,51.42,2,80.67,2,2,5.5,2,2,2,0,0,0,2,2,2,2,2,0,0
ST5089,64.58,67.35,77.24,2,65.55,1,0,2.9,2,0,2,0,1,0,2,0,2,0,2,0,1
ST5090,79.19,54.58,86.07,2,91.1,2,0,7.1,1,3,2,0,0,0,2,0,1,3,2,0,0
ST5091,73.36,36.87,62.73,0,86.89,1,3,2.6,0,2,2,1,1,0,0,3,0,2,2,1,1
ST5092,85.56,54.71,54.33,0,88.33,2,0,3.2,0,3,1,2,1,0,0,0,0,3,1,2,1
ST5093,62.17,43.73,38.5,1,76.25,2,3,3.4,1,3,1,2,0,0,1,3,1,3,1,2,0
ST5094,67.41,93.27,56.23,0,77.58,2,1,6,0,1,1,2,1,1,0,1,0,1,1,2,1
ST5095,66.51,64.16,66.64,0,63.06,2,2,2.9,1,2,1,1,0,0,0,2,1,2,1,1,0
ST5096,51.51,60.47,87.19,1,84.96,2,1,0.9,0,0,1,1,1,0,1,1,0,0,1,1,1
ST5097,76.15,80.23,76.08,2,78.8,2,3,6.7,0,0,2,2,0,0,2,3,0,0,2,2,0
ST5098,75.65,48.05,71.66,1,80.67,2,2,3.6,0,2,1,2,0,0,1,2,0,2,1,2,0
ST5099,72.07,53.73,63.2,1,91.88,2,2,2.4,2,1,1,2,0,0,1,2,2,1,1,2,0
ST5100,68.72,67.09,61,2,68.94,2,2,3,0,2,2,1,0,1,2,2,0,2,2,1,0
ST5101,52.18,82.46,84.87,1,73.74,2,1,7.9,2,3,2,0,0,0,1,1,2,3,2,0,0
ST5102,66.11,74.03,70.41,1,78.27,1,2,3.2,2,1,0,0,1,0,1,2,2,1,0,0,1
ST5103,67.2,69.97,42.77,1,65.65,1,1,4.3,2,3,0,1,0,0,1,1,2,3,0,1,0
ST5104,60.77,67.25,59.92,0,73.12,2,1,3.6,1,2,0,0,1,0,0,1,1,2,0,0,1
ST5105,69.74,72.4,57.7,2,79.93,2,2,2,0,1,1,2,1,1,2,2,0,1,1,2,1
ST5106,77.66,69.23,61.44,2,71.75,1,3,3,0,2,2,0,0,1,2,3,0,2,2,0,0
ST5107,98.41,49.52,74.75,1,88.09,1,2,1.9,0,2,0,2,1,1,1,2,0,2,0,2,1
ST5108,74.44,66.74,66.71,0,59.89,1,2,6.4,2,1,0,1,1,0,0,2,2,1,0,1,1
ST5109,75.61,48.82,67.08,2,86.23,2,1,4.7,0,1,1,1,1,0,2,1,0,1,1,1,1
ST5110,70.96,67.3,83.76,2,81.61,2,2,9.5,2,2,0,2,0,0,2,2,2,2,0,2,0
ST5111,45.14,58.31,59.64,1,69.31,2,3,3.1,2,0,2,2,1,0,1,3,2,0,2,2,1
ST5112,71.63,100,90.37,1,65.76,2,2,2.8,2,1,2,0,1,0,1,2,2,1,2,0,1
ST5113,72.84,65.36,59.94,1,54.2,1,3,7.6,2,0,0,2,1,0,1,3,2,0,0,2,1
ST5114,100,43.53,69.07,2,67.05,1,0,6.6,0,0,2,1,0,0,2,0,0,0,2,1,0
ST5115,69.31,63.85,64.63,1,85.47,1,0,5.3,2,0,0,1,0,0,1,0,2,0,0,1,0
